ave
blvd
cent
cir
cmn
cr
ct
ctr
cyn
dr
expy
fwy
gate
gtwy
hill
hl
holw
hts
hwy
jct
knls
ln
pkwy
pky
pl
plc
plz
pt
rd
rdg
row
rt
sq
st
ter
termin
tpke
trl
xing
