ADDRESSES,SEQUENCE
0-21 fennessey street sw,[['DIGDASH', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['DIR']]
0300 arboretum place suite 660,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
0794 chicago dr,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY']]
1 academy drive,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY']]
1 applegate drive south,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['COMMONST', 'DIR']]
1 beacon street 13th floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['COMMONST', 'NTH'], ['APT']]
1 bethany rd bldg 6,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 blair mountain road,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA', 'COMMONST'], ['WORDWAY']]
1 blue hill plaza,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY']]
1 bowdoin square floor 10,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['APT'], ['DIGIT', 'ADR_HEAD']]
1 bridge street suite a102,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'STRUCTURE'], ['WORDWAY'], ['APT', 'APT_NUM'], ['ADR_HEAD', 'ALNUM']]
1 broadway fl 15,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['APT'], ['DIGIT', 'ADR_HEAD']]
1 brook st,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'PRE']]
1 campus view dr,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA', 'COMMONST'], ['WAY']]
1 cedar brookdrive,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST'], ['ALPHA']]
1 chandler ranch road,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['WORDWAY']]
1 chestnutt st suite 222,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY', 'PRE'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 church street,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'COMMONST', 'STRUCTURE'], ['WORDWAY']]
1 college circle,[['DIGIT', 'ADR_HEAD'], ['ALPHA', 'STRUCTURE'], ['WORDWAY']]
1 corporate place south suite 120,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['COMMONST', 'DIR'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 crisis center plaza,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST'], ['WORDWAY']]
1 dag hammarskjold blvd,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['WAY']]
1 daniel burnham ct suite 230c,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA'], ['WAY', 'APT'], ['APT', 'APT_NUM'], ['NUMS_1AL']]
1 deer park drive suite f1,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY', 'COMMONST', 'GFEATURE'], ['WORDWAY'], ['APT', 'APT_NUM'], ['ADR_HEAD', 'ALNUM']]
1 dunham rd 2nd floor,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WAY'], ['COMMONST', 'NTH'], ['APT']]
1 dupli parkdrive,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['ALPHA']]
1 dupont circle nw suite 230,[['DIGIT', 'ADR_HEAD'], ['ALPHA'], ['WORDWAY'], ['DIR'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 e 22nd street ste 301,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['NTH'], ['WORDWAY'], ['APT'], ['DIGIT', 'ADR_HEAD']]
1 e broward blvd suite 810,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 e mountain st,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA', 'COMMONST'], ['WAY', 'PRE']]
1 e pratt street suite 904,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 e redlands blvd,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY']]
1 e upper wacker drive suite 510,[['DIGIT', 'ADR_HEAD'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 east erie street suite 242,[['DIGIT', 'ADR_HEAD'], ['DIR'], ['ALPHA'], ['WORDWAY'], ['APT', 'APT_NUM'], ['DIGIT', 'ADR_HEAD']]
1 east national drive,[['DIGIT', 'ADR_HEAD'], ['DIR'], ['ALPHA'], ['WORDWAY']]
