ave
avenue
blvd
boulevard
canyon
cent
cir
circle
cmn
common
connector
court
creek
cr
ct
ctr
cyn
dr
drive
expy
freeway
fwy
galleria
gate
gateway
gtwy
heights
highlands
highway
hill
hl
holw
hts
hwy
jct
kiosk
knls
lane
lanes
ln
loop
mall
park
pass
path
pike
pkwy
pky
pl
place
plaza
plc
plz
point
pt
rd
rdg
road
route
row
rt
sq
square
st
street
strip
ter
termin
terrace
tpke
trl
turnpike
village
walk
way
wharf
xing
