apartment
apt
bldg
bulding
ct
concourse
esp
fl
flr
floor
lbby
loop
lot
no
number
office
pmb
rm
ro
rr
room
section
side
site
sp
spc
std
ste
stores
suie
suit
suire
suite
sutie
trlr
unit
units
unt
